Country Name,Country Code,Year,Value
United Kingdom,GBR,1960,52400000
United Kingdom,GBR,1961,52800000
United Kingdom,GBR,1962,53250000
United Kingdom,GBR,1963,53650000
United Kingdom,GBR,1964,54000000
United Kingdom,GBR,1965,54348050
United Kingdom,GBR,1966,54648500
United Kingdom,GBR,1967,54943600
United Kingdom,GBR,1968,55211700
United Kingdom,GBR,1969,55441750
United Kingdom,GBR,1970,55663250
United Kingdom,GBR,1971,55896223
United Kingdom,GBR,1972,56086065
United Kingdom,GBR,1973,56194527
United Kingdom,GBR,1974,56229974
United Kingdom,GBR,1975,56225800
United Kingdom,GBR,1976,56211968
United Kingdom,GBR,1977,56193492
United Kingdom,GBR,1978,56196504
United Kingdom,GBR,1979,56246951
United Kingdom,GBR,1980,56314216
United Kingdom,GBR,1981,56333829
United Kingdom,GBR,1982,56313641
United Kingdom,GBR,1983,56332848
United Kingdom,GBR,1984,56422072
United Kingdom,GBR,1985,56550268
United Kingdom,GBR,1986,56681396
United Kingdom,GBR,1987,56802050
United Kingdom,GBR,1988,56928327
United Kingdom,GBR,1989,57076711
United Kingdom,GBR,1990,57247586
United Kingdom,GBR,1991,57424897
United Kingdom,GBR,1992,57580402
United Kingdom,GBR,1993,57718614
United Kingdom,GBR,1994,57865745
United Kingdom,GBR,1995,58019030
United Kingdom,GBR,1996,58166950
United Kingdom,GBR,1997,58316954
United Kingdom,GBR,1998,58487141
United Kingdom,GBR,1999,58682466
United Kingdom,GBR,2000,58892514
United Kingdom,GBR,2001,59119673
United Kingdom,GBR,2002,59370479
United Kingdom,GBR,2003,59647577
United Kingdom,GBR,2004,59987905
United Kingdom,GBR,2005,60401206
United Kingdom,GBR,2006,60846820
United Kingdom,GBR,2007,61322463
United Kingdom,GBR,2008,61806995
United Kingdom,GBR,2009,62276270
United Kingdom,GBR,2010,62766365
United Kingdom,GBR,2011,63258810
United Kingdom,GBR,2012,63700215
United Kingdom,GBR,2013,64128273
United Kingdom,GBR,2014,64602298
United Kingdom,GBR,2015,65116219
United Kingdom,GBR,2016,65611593
United Kingdom,GBR,2017,66058859
United Kingdom,GBR,2018,66460344
United Kingdom,GBR,2019,66836327
United Kingdom,GBR,2020,67081000
United Kingdom,GBR,2021,67326569
